client_code,product,push_notification
1,Кредитная карта,"Айгерим, за 3 месяца можно было заработать 156 215 ₸ 😎. До 10% кешбэка и онлайн-сервисы, плюс рассрочка без переплат. Оформить карту?"
2,Премиальная карта,"Данияр, за последние 3 месяца ваш кешбэк мог составить 170 879 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
3,Кредит наличными,"Сабина, нужен быстрый запас на крупные расходы? 💡 Кредит наличными без залога и справок, онлайн или в отделении, с гибкими выплатами. Узнать лимит?"
4,Депозит Мультивалютный,"Тимур, у вас остаются свободные средства? Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Посмотреть условия."
5,Премиальная карта,"Камилла, за последние 3 месяца ваш кешбэк мог составить 153 967 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
6,Депозит Сберегательный,"Аян, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
7,Золотые слитки,"Руслан, чтобы сохранить стоимость средств и диверсифицировать портфель, купите золотые слитки 999,9 пробы и храните в сейфах банка. Посмотреть."
8,Инвестиции,"Мадина, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
9,Премиальная карта,"Арман, за последние 3 месяца ваш кешбэк мог составить 184 523 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
10,Инвестиции,"Карина, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
11,Инвестиции,"Бауржан, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
12,Кредитная карта,"Жанар, за последние 3 месяца ваш потенциальный кешбэк — 153 341 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
13,Кредит наличными,"Алина, нужен быстрый запас на крупные расходы? 💡 Кредит наличными без залога и справок, онлайн или в отделении, с гибкими выплатами. Узнать лимит?"
14,Депозит Мультивалютный,"Диас, держите свободные средства? 💰 Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Открыть депозит?"
15,Депозит Сберегательный,"Нурия, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
16,Кредит наличными,"Ерасыл, нужен быстрый запас на крупные расходы? 💡 Кредит наличными без залога и справок, онлайн или в отделении, с гибкими выплатами. Узнать лимит?"
17,Кредит наличными,"Жанель, если нужен быстрый кредит на любые цели — оформите кредит наличными онлайн или в отделении. Гибкие выплаты, без залога и справок. Узнать лимит."
18,Кредитная карта,"Санжар, за последние 3 месяца ваш потенциальный кешбэк — 160 791 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
19,Кредитная карта,"Азамат, за последние 3 месяца ваш потенциальный кешбэк — 146 617 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
20,Кредитная карта,"Анель, за 3 месяца можно было заработать 145 129 ₸ 😎. До 10% кешбэка и онлайн-сервисы, плюс рассрочка без переплат. Оформить карту?"
